id,stid,subid,model,rID,roi,T,NT,coverage
1,01_Levy1,01_Levy1s_891,model_00,9,hc_lTail,0.007298527,0.001002094,100
1,01_Levy1,01_Levy1s_900,model_00,9,hc_lTail,-0.00120953,-0.010115204,100
1,01_Levy1,01_Levy1s_901,model_00,9,hc_lTail,0.016316564,0.055386539,100
1,01_Levy1,01_Levy1s_902,model_00,9,hc_lTail,-0.03643663,0.046902105,100
1,01_Levy1,01_Levy1s_906,model_00,9,hc_lTail,-0.009589018,-0.024093816,100
1,01_Levy1,01_Levy1s_908,model_00,9,hc_lTail,0.007055069,0.010237414,100
2,02_Levy2,02_Levy2s_1026,model_00,1,ch12,-0.011615404,-0.045386102,100
2,02_Levy2,02_Levy2s_1027,model_00,1,ch12,-0.054813464,-0.050795725,99.66329966
2,02_Levy2,02_Levy2s_1029,model_00,1,ch12,-0.000216644,-0.010654233,100
2,02_Levy2,02_Levy2s_1030,model_00,1,ch12,0.009629586,-0.064451096,100
2,02_Levy2,02_Levy2s_1031,model_00,1,ch12,0.01192224,-0.005092913,100
2,02_Levy2,02_Levy2s_1032,model_00,1,ch12,-0.007175393,-0.016621062,96.36363636
2,02_Levy2,02_Levy2s_1033,model_00,1,ch12,-0.040887936,-0.109265168,95.70957096
2,02_Levy2,02_Levy2s_1034,model_00,1,ch12,0.004510963,-0.005586562,100
2,02_Levy2,02_Levy2s_1035,model_00,1,ch12,-0.051301963,-0.030300185,59.79381443
2,02_Levy2,02_Levy2s_1036,model_00,1,ch12,0.014521809,-0.027190413,100
2,02_Levy2,02_Levy2s_1038,model_00,1,ch12,-0.032750644,-0.014604659,94.29530201
2,02_Levy2,02_Levy2s_798,model_00,1,ch12,0.023980237,0.017293079,100
2,02_Levy2,02_Levy2s_919,model_00,1,ch12,-0.027714339,-0.058978284,100
2,02_Levy2,02_Levy2s_940,model_00,1,ch12,-0.001659062,-0.057445799,100
2,02_Levy2,02_Levy2s_962,model_00,1,ch12,-0.03351126,-0.065773255,100
2,02_Levy2,02_Levy2s_963,model_00,1,ch12,-0.095189868,-0.103931072,93.99399399
2,02_Levy2,02_Levy2s_979,model_00,1,ch12,-0.004859469,-0.032597656,96.875
2,02_Levy2,02_Levy2s_980,model_00,1,ch12,0.020487004,0.01122118,100
2,02_Levy2,02_Levy2s_1026,model_00,2,hc_Right,0.002107025,-0.021596497,100
2,02_Levy2,02_Levy2s_1027,model_00,2,hc_Right,-0.014639844,-0.005810861,98.97196262
2,02_Levy2,02_Levy2s_1029,model_00,2,hc_Right,-0.024664702,-0.050960908,93.40057637
2,02_Levy2,02_Levy2s_1030,model_00,2,hc_Right,0.006978135,-0.046109557,99.52281539
2,02_Levy2,02_Levy2s_1031,model_00,2,hc_Right,0.028376661,0.022657098,97.30244367
2,02_Levy2,02_Levy2s_1032,model_00,2,hc_Right,-0.024513007,-0.025416831,96.875
2,02_Levy2,02_Levy2s_1033,model_00,2,hc_Right,-0.030718804,-0.088824296,99.8980632
2,02_Levy2,02_Levy2s_1034,model_00,2,hc_Right,-0.033692604,-0.00863364,100
2,02_Levy2,02_Levy2s_1035,model_00,2,hc_Right,-0.022772699,-0.006842509,99.96466431
2,02_Levy2,02_Levy2s_1036,model_00,2,hc_Right,0.00745338,-0.003283335,99.48562784
2,02_Levy2,02_Levy2s_1038,model_00,2,hc_Right,-0.004063735,-0.02749465,94.28195859
2,02_Levy2,02_Levy2s_798,model_00,2,hc_Right,0.014072675,-0.018254743,99.62154294
2,02_Levy2,02_Levy2s_919,model_00,2,hc_Right,-0.006483974,-0.055789159,100
2,02_Levy2,02_Levy2s_940,model_00,2,hc_Right,0.011350073,-0.01221945,99.24688933
2,02_Levy2,02_Levy2s_962,model_00,2,hc_Right,-0.001459761,-0.004881733,86.92333223
2,02_Levy2,02_Levy2s_963,model_00,2,hc_Right,-0.012370363,-0.017268879,100
2,02_Levy2,02_Levy2s_979,model_00,2,hc_Right,-0.009640042,-0.005291367,99.48453608
2,02_Levy2,02_Levy2s_980,model_00,2,hc_Right,-0.006777896,-0.006454223,98.62707535
2,02_Levy2,02_Levy2s_1026,model_00,3,hc_Left,0.003771864,-0.02419956,100
2,02_Levy2,02_Levy2s_1027,model_00,3,hc_Left,-0.013915606,-0.019637395,98.3712354
2,02_Levy2,02_Levy2s_1029,model_00,3,hc_Left,-0.019471404,-0.046073983,95.73075725
2,02_Levy2,02_Levy2s_1030,model_00,3,hc_Left,0.001070102,-0.036189824,91.00825472
2,02_Levy2,02_Levy2s_1031,model_00,3,hc_Left,0.060525393,0.04398041,94.20107154
2,02_Levy2,02_Levy2s_1032,model_00,3,hc_Left,-0.041699692,-0.034085479,97.71677086
2,02_Levy2,02_Levy2s_1033,model_00,3,hc_Left,-0.010917485,-0.058960717,99.93103448
2,02_Levy2,02_Levy2s_1034,model_00,3,hc_Left,-0.033294442,0.008046505,100
2,02_Levy2,02_Levy2s_1035,model_00,3,hc_Left,-0.037647859,-0.008670515,98.55072464
2,02_Levy2,02_Levy2s_1036,model_00,3,hc_Left,0.003602953,-0.013902022,97.78182923
2,02_Levy2,02_Levy2s_1038,model_00,3,hc_Left,0.002518479,-0.006572223,98.36240655
2,02_Levy2,02_Levy2s_798,model_00,3,hc_Left,0.019038314,-0.01951631,100
2,02_Levy2,02_Levy2s_919,model_00,3,hc_Left,-0.023520172,-0.065990371,99.8744113
2,02_Levy2,02_Levy2s_940,model_00,3,hc_Left,-0.000764463,-0.018699956,100
2,02_Levy2,02_Levy2s_962,model_00,3,hc_Left,-0.021846703,-0.033437434,88.05436338
2,02_Levy2,02_Levy2s_963,model_00,3,hc_Left,-0.017271674,-0.013533176,100
2,02_Levy2,02_Levy2s_979,model_00,3,hc_Left,0.006678728,0.017562912,99.94326241
2,02_Levy2,02_Levy2s_980,model_00,3,hc_Left,0.003406888,-0.014471056,97.2082072
2,02_Levy2,02_Levy2s_1026,model_00,4,hc_rHead,-0.003384723,-0.034105307,100
2,02_Levy2,02_Levy2s_1027,model_00,4,hc_rHead,-0.020843528,-0.000482707,99.17721519
2,02_Levy2,02_Levy2s_1029,model_00,4,hc_rHead,-0.0448492,-0.075882833,86.00379987
2,02_Levy2,02_Levy2s_1030,model_00,4,hc_rHead,-0.004826627,-0.075309181,99.1280654
2,02_Levy2,02_Levy2s_1031,model_00,4,hc_rHead,0.022464547,0.005397775,93.51639969
2,02_Levy2,02_Levy2s_1032,model_00,4,hc_rHead,-0.03242443,-0.036304014,93.98340249
2,02_Levy2,02_Levy2s_1033,model_00,4,hc_rHead,-0.041542685,-0.12779342,99.84114376
2,02_Levy2,02_Levy2s_1034,model_00,4,hc_rHead,-0.029060674,-0.02090068,100
2,02_Levy2,02_Levy2s_1035,model_00,4,hc_rHead,-0.016761468,-0.003106535,99.9238965
2,02_Levy2,02_Levy2s_1036,model_00,4,hc_rHead,0.001731557,-0.016924321,98.97836538
2,02_Levy2,02_Levy2s_1038,model_00,4,hc_rHead,-0.014526627,-0.036881826,87.56254467
2,02_Levy2,02_Levy2s_798,model_00,4,hc_rHead,0.003869909,-0.040622288,100
2,02_Levy2,02_Levy2s_919,model_00,4,hc_rHead,-0.022798328,-0.062339643,100
2,02_Levy2,02_Levy2s_940,model_00,4,hc_rHead,-0.016001466,-0.03089936,98.26676714
2,02_Levy2,02_Levy2s_962,model_00,4,hc_rHead,0.01314215,0.022571854,69.53125
2,02_Levy2,02_Levy2s_963,model_00,4,hc_rHead,0.00087097,0.016232078,100
2,02_Levy2,02_Levy2s_979,model_00,4,hc_rHead,-0.010413837,-0.009681517,98.93078222
2,02_Levy2,02_Levy2s_980,model_00,4,hc_rHead,-0.016890112,-0.041127578,97.68365321
2,02_Levy2,02_Levy2s_1026,model_00,5,hc_rBody,0.004977098,-0.018331184,100
