id,stid,subid,SIF,zSIF,iFirst,iMiddle,iLast,iMean,iSlope,iPropSlope,ziMean,ziSlope,ziPropSlope
5,05_Yuhua,05_Yuhuas_818,0,-0.403320993,1,0.885247209,0.772727273,0.885991494,-0.054090909,-0.054090909,1.431965157,0.091275782,0.569888123
5,05_Yuhua,05_Yuhuas_819,-7.2222222,-0.922376571,0.888888889,0.907407407,0.833333333,0.87654321,-0.005555556,-0.00625,1.39915192,1.020913222,0.973795357
5,05_Yuhua,05_Yuhuas_821,-1.5151515,-0.512213771,0.285714286,0,0,0.095238095,-0.142857143,-0.5,-1.314266659,-1.608936732,-3.194795937
5,05_Yuhua,05_Yuhuas_822,17.3611111,0.844408766,0.1875,0.107142857,0.125,0.139880952,0,0,-1.159225107,1.127323344,1.026562335
5,05_Yuhua,05_Yuhuas_824,19.6969697,1.012285134,0.277777778,0.092592593,0,0.12345679,-0.061111111,-0.22,-1.216265084,-0.043187908,-0.830835304
5,05_Yuhua,05_Yuhuas_825,-1.6666667,-0.523103052,0.6875,0.722222222,0.705882353,0.705201525,-0.001879085,-0.002733214,0.804094109,1.091331687,1.003486584
5,05_Yuhua,05_Yuhuas_827,-16.1616162,-1.564843971,0.882352941,0.824618736,0.722222222,0.8097313,-0.055882353,-0.063333333,1.167118782,0.056962785,0.491856957
5,05_Yuhua,05_Yuhuas_828,12.5,0.495044434,0.416666667,0.166666667,0.041666667,0.208333333,-0.083333333,-0.2,-0.921494726,-0.468828359,-0.661980973
5,05_Yuhua,05_Yuhuas_830,25.5681818,1.434244651,0.866666667,0.465277778,0.5,0.610648148,-0.104583333,-0.120673077,0.475716776,-0.875847045,0.007753752
5,05_Yuhua,05_Yuhuas_831,9.0909091,0.250035682,0.631578947,0.469474969,0.214285714,0.438446544,-0.138220551,-0.218849206,-0.122327474,-1.520128281,-0.821119477
5,05_Yuhua,05_Yuhuas_832,15,0.674717519,0.8125,0.6875,0.642857143,0.714285714,-0.040178571,-0.049450549,0.835642869,0.357750207,0.609065367
5,05_Yuhua,05_Yuhuas_833,31.1688312,1.836759034,0.714285714,0.357142857,0.214285714,0.428571429,-0.128571429,-0.18,-0.156623065,-1.33531073,-0.493126643
6,06_RolandNeuron,06_RolandNeurons_DS21,20,1.314402579,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS22,0,-0.80750293,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS23,10,0.253449825,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS24,12.5,0.518688013,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS25,8.5,0.094306911,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS26,29,2.269260058,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS27,2.5,-0.542264741,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS29,5.5,-0.223978915,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS30,2,-0.595312379,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS31,3.5,-0.436169466,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS32,5,-0.277026552,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS33,16.5,0.943069115,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS35,-2,-1.01969348,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS36,-3.5,-1.178836394,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS37,-4,-1.231884031,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS38,0,-0.80750293,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS40,8.5,0.094306911,,,,,,,,,
6,06_RolandNeuron,06_RolandNeurons_DS51,23,1.632688405,,,,,,,,,
7,07_PierrePNAS,07_PierrePNASs_001,,,,,,,,,,,
7,07_PierrePNAS,07_PierrePNASs_002,,,,,,,,,,,
7,07_PierrePNAS,07_PierrePNASs_003,,,,,,,,,,,
7,07_PierrePNAS,07_PierrePNASs_004,,,,,,,,,,,
